PM_ID	Title	Abstract	Journal	Year	PMC_ID	DOI	Type	Author
22342368	Genetic engineering to enhance the Ehrlich pathway and alter carbon flux for increased isobutanol production from glucose by Saccharomyces cerevisiae.	The production of higher alcohols by engineered bacteria has received significant attention. The budding yeast, Saccharomyces cerevisiae, has considerable potential as a producer of higher alcohols because of its capacity to naturally fabricate fusel alcohols, in addition to its robustness and tolerance to low pH. However, because its natural productivity is not significant, we considered a strategy of genetic engineering to increase production of the branched-chain higher alcohol isobutanol, which is involved in valine biosynthesis. Initially, we overexpressed 2-keto acid decarboxylase (KDC) and alcohol dehydrogenase (ADH) in S. cerevisiae to enhance the endogenous activity of the Ehrlich pathway. We then overexpressed Ilv2, which catalyzes the first step in the valine synthetic pathway, and deleted the PDC1 gene encoding a major pyruvate decarboxylase with the intent of altering the abundant ethanol flux via pyruvate. Through these engineering steps, along with modification of culture conditions, the isobutanol titer of S. cerevisiae was elevated 13-fold, from 11 mg/l to 143 mg/l, and the yield was 6.6 mg/g glucose, which is higher than any previously reported value for S. cerevisiae.	Journal of biotechnology	2012		10.1016/j.jbiotec.2012.01.022	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Takashi,LastName:Kondo] [ForeName:Hironori,LastName:Tezuka] [ForeName:Jun,LastName:Ishii] [ForeName:Fumio,LastName:Matsuda] [ForeName:Chiaki,LastName:Ogino] [ForeName:Akihiko,LastName:Kondo]
21468716	Biosynthesis of isoprene in Escherichia coli via methylerythritol phosphate (MEP) pathway.	Isoprene is an aviation fuel of high quality and an important polymer building block in the synthetic chemistry industry. In light of high oil prices, sustained availability, and environmental concerns, isoprene from renewable materials is contemplated as a substitute for petroleum-based product. Escherichia coli with advantages over other wild microorganisms, is considered as a powerful host for biofuels and chemicals. Here, we constructed a synthetic pathway of isoprene in E. coli by introducing an isoprene synthase (ispS) gene from Populus nigra, which catalyzes the conversion of dimethylallyl diphosphate (DMAPP) to isoprene. To improve the isoprene production, we overexpressed the native 1-deoxy-D: -xylulose-5-phosphate (DXP) synthase gene (dxs) and DXP reductoisomerase gene (dxr) in E. coli, which catalyzed the first step and the second step of MEP pathway, respectively. The fed-batch fermentation results showed that overexpression of DXS is helpful for the improvement of isoprene production. Surprisingly, heterologous expression of dxs and dxr from Bacillus subtilis in the E. coli expressing ispS resulted in a 2.3-fold enhancement of isoprene production (from 94 to 314 mg/L). The promising results showed that dxs and dxr from B. subtilis functioned more efficiently on the enhancement of isoprene production than native ones. This could be caused by the consequence of great difference in protein structures of the two original DXSs. It could be practical to produce isoprene in E. coli via MEP pathway through metabolic engineering. This work provides an alternative way for production of isoprene by engineered E. coli via MEP pathway through metabolic engineering.	Applied microbiology and biotechnology	2011		10.1007/s00253-011-3199-1	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Yaru,LastName:Zhao] [ForeName:Jianming,LastName:Yang] [ForeName:Bo,LastName:Qin] [ForeName:Yonghao,LastName:Li] [ForeName:Yuanzhang,LastName:Sun] [ForeName:Sizheng,LastName:Su] [ForeName:Mo,LastName:Xian]
24885133	Increased 3-hydroxypropionic acid production from glycerol, by modification of central metabolism in Escherichia coli.	3-hydroxypropionic acid (3HP) is an important chemical precursor for the production of bioplastics. Microbial production of 3HP from glycerol has previously been developed through the optimization of culture conditions and the 3HP biosynthesis pathway. In this study, a novel strategy for improving 3HP production in Escherichia coli was investigated by the modification of central metabolism based on a genome-scale metabolic model and experimental validation.	Microbial cell factories	2014	4019354.0	10.1186/1475-2859-13-64	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Kento,LastName:Tokuyama] [ForeName:Satoshi,LastName:Ohno] [ForeName:Katsunori,LastName:Yoshikawa] [ForeName:Takashi,LastName:Hirasawa] [ForeName:Shotaro,LastName:Tanaka] [ForeName:Chikara,LastName:Furusawa] [ForeName:Hiroshi,LastName:Shimizu]
20854924	Metabolic engineering of Saccharomyces cerevisiae for the biotechnological production of succinic acid.	The production of bio-based succinic acid is receiving great attention, and several predominantly prokaryotic organisms have been evaluated for this purpose. In this study we report on the suitability of the highly acid- and osmotolerant yeast Saccharomyces cerevisiae as a succinic acid production host. We implemented a metabolic engineering strategy for the oxidative production of succinic acid in yeast by deletion of the genes SDH1, SDH2, IDH1 and IDP1. The engineered strains harbor a TCA cycle that is completely interrupted after the intermediates isocitrate and succinate. The strains show no serious growth constraints on glucose. In glucose-grown shake flask cultures, the quadruple deletion strain Δsdh1Δsdh2Δidh1Δidp1 produces succinic acid at a titer of 3.62 g L(-1) (factor 4.8 compared to wild-type) at a yield of 0.11 mol (mol glucose)(-1). Succinic acid is not accumulated intracellularly. This makes the yeast S. cerevisiae a suitable and promising candidate for the biotechnological production of succinic acid on an industrial scale.	Metabolic engineering	2010		10.1016/j.ymben.2010.08.005	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Andreas M,LastName:Raab] [ForeName:Gabi,LastName:Gebhardt] [ForeName:Natalia,LastName:Bolotina] [ForeName:Dirk,LastName:Weuster-Botz] [ForeName:Christine,LastName:Lang]
19837840	Reengineering Escherichia coli for Succinate Production in Mineral Salts Medium.	The fermentative metabolism of glucose was redirected to succinate as the primary product without mutating any genes encoding the native mixed-acid fermentation pathway or redox reactions. Two changes in peripheral pathways were together found to increase succinate yield fivefold: (i) increased expression of phosphoenolpyruvate carboxykinase and (ii) inactivation of the glucose phosphoenolpyruvate-dependent phosphotransferase system. These two changes increased net ATP production, increased the pool of phosphoenolpyruvate available for carboxylation, and increased succinate production. Modest further improvements in succinate yield were made by inactivating the pflB gene, encoding pyruvate formate lyase, resulting in an Escherichia coli pathway that is functionally similar to the native pathway in Actinobacillus succinogenes and other succinate-producing rumen bacteria.	Applied and environmental microbiology	2009	2794101.0	10.1128/AEM.01758-09	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,	[ForeName:X,LastName:Zhang] [ForeName:K,LastName:Jantama] [ForeName:K T,LastName:Shanmugam] [ForeName:L O,LastName:Ingram]
10802621	Improving lycopene production in Escherichia coli by engineering metabolic control.	Metabolic engineering has achieved encouraging success in producing foreign metabolites in a variety of hosts. However, common strategies for engineering metabolic pathways focus on amplifying the desired enzymes and deregulating cellular controls. As a result, uncontrolled or deregulated metabolic pathways lead to metabolic imbalance and suboptimal productivity. Here we have demonstrated the second stage of metabolic engineering effort by designing and engineering a regulatory circuit to control gene expression in response to intracellular metabolic states. Specifically, we recruited and altered one of the global regulatory systems in Escherichia coli, the Ntr regulon, to control the engineered lycopene biosynthesis pathway. The artificially engineered regulon, stimulated by excess glycolytic flux through sensing of an intracellular metabolite, acetyl phosphate, controls the expression of two key enzymes in lycopene synthesis in response to flux dynamics. This intracellular control loop significantly enhanced lycopene production while reducing the negative impact caused by metabolic imbalance. Although we demonstrated this strategy for metabolite production, it can be extended into other fields where gene expression must be closely controlled by intracellular physiology, such as gene therapy.	Nature biotechnology	2000		10.1038/75398	Journal Article,Research Support, U.S. Gov't, Non-P.H.S.,	[ForeName:W R,LastName:Farmer] [ForeName:J C,LastName:Liao]
22851014	Implementation of a transhydrogenase-like shunt to counter redox imbalance during xylose fermentation in Saccharomyces cerevisiae.	Three enzymes responsible for the transhydrogenase-like shunt, including malic enzyme (encoded by MAE1), malate dehydrogenase (MDH2), and pyruvate carboxylase (PYC2), were overexpressed to regulate the redox state in xylose-fermenting recombinant Saccharomyces cerevisiae. The YPH499XU/MAE1 strain was constructed by overexpressing native Mae1p in the YPH499XU strain expressing xylose reductase and xylitol dehydrogenase from Scheffersomyces stipitis, and native xylulokinase. Analysis of the xylose fermentation profile under semi-anaerobic conditions revealed that the ethanol yield in the YPH499XU/MAE1 strain (0.38 ± 0.01 g g⁻¹ xylose consumed) was improved from that of the control strain (0.31 ± 0.01 g g⁻¹ xylose consumed). Reduced xylitol production was also observed in YPH499XU/MAE1, suggesting that the redox balance was altered by Mae1p overexpression. Analysis of intracellular metabolites showed that the redox imbalance during xylose fermentation was partly relieved in the transformant. The specific ethanol production rate in the YPH499XU/MAE1-MDH2 strain was 1.25-fold higher than that of YPH499XU/MAE1 due to the additional overexpression of Mdh2p, whereas the ethanol yield was identical to that of YPH499XU/MAE1. The specific xylose consumption rate was drastically increased in the YPH499XU/MAE1-MDH2-PYC2 strain. However, poor ethanol yield as well as increased production of xylitol was observed. These results demonstrate that the transhydrogenase function implemented in S. cerevisiae can regulate the redox state of yeast cells.	Applied microbiology and biotechnology	2013		10.1007/s00253-012-4298-3	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Hiroyuki,LastName:Suga] [ForeName:Fumio,LastName:Matsuda] [ForeName:Tomohisa,LastName:Hasunuma] [ForeName:Jun,LastName:Ishii] [ForeName:Akihiko,LastName:Kondo]
18344340	Malic acid production by Saccharomyces cerevisiae: engineering of pyruvate carboxylation, oxaloacetate reduction, and malate export.	"Malic acid is a potential biomass-derivable ""building block"" for chemical synthesis. Since wild-type Saccharomyces cerevisiae strains produce only low levels of malate, metabolic engineering is required to achieve efficient malate production with this yeast. A promising pathway for malate production from glucose proceeds via carboxylation of pyruvate, followed by reduction of oxaloacetate to malate. This redox- and ATP-neutral, CO(2)-fixing pathway has a theoretical maximum yield of 2 mol malate (mol glucose)(-1). A previously engineered glucose-tolerant, C(2)-independent pyruvate decarboxylase-negative S. cerevisiae strain was used as the platform to evaluate the impact of individual and combined introduction of three genetic modifications: (i) overexpression of the native pyruvate carboxylase encoded by PYC2, (ii) high-level expression of an allele of the MDH3 gene, of which the encoded malate dehydrogenase was retargeted to the cytosol by deletion of the C-terminal peroxisomal targeting sequence, and (iii) functional expression of the Schizosaccharomyces pombe malate transporter gene SpMAE1. While single or double modifications improved malate production, the highest malate yields and titers were obtained with the simultaneous introduction of all three modifications. In glucose-grown batch cultures, the resulting engineered strain produced malate at titers of up to 59 g liter(-1) at a malate yield of 0.42 mol (mol glucose)(-1). Metabolic flux analysis showed that metabolite labeling patterns observed upon nuclear magnetic resonance analyses of cultures grown on (13)C-labeled glucose were consistent with the envisaged nonoxidative, fermentative pathway for malate production. The engineered strains still produced substantial amounts of pyruvate, indicating that the pathway efficiency can be further improved."	Applied and environmental microbiology	2008	2394876.0	10.1128/AEM.02591-07	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Rintze M,LastName:Zelle] [ForeName:Erik,LastName:de Hulster] [ForeName:Wouter A,LastName:van Winden] [ForeName:Pieter,LastName:de Waard] [ForeName:Cor,LastName:Dijkema] [ForeName:Aaron A,LastName:Winkler] [ForeName:Jan-Maarten A,LastName:Geertman] [ForeName:Johannes P,LastName:van Dijken] [ForeName:Jack T,LastName:Pronk] [ForeName:Antonius J A,LastName:van Maris]
19458924	Deletion of methylglyoxal synthase gene (mgsA) increased sugar co-metabolism in ethanol-producing Escherichia coli.	The use of lignocellulose as a source of sugars for bioproducts requires the development of biocatalysts that maximize product yields by fermenting mixtures of hexose and pentose sugars to completion. In this study, we implicate mgsA encoding methylglyoxal synthase (and methylglyoxal) in the modulation of sugar metabolism. Deletion of this gene (strain LY168) resulted in the co-metabolism of glucose and xylose, and accelerated the metabolism of a 5-sugar mixture (mannose, glucose, arabinose, xylose and galactose) to ethanol.	Biotechnology letters	2009	2721133.0	10.1007/s10529-009-0011-8	Journal Article,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, Non-P.H.S.,	[ForeName:L P,LastName:Yomano] [ForeName:S W,LastName:York] [ForeName:K T,LastName:Shanmugam] [ForeName:L O,LastName:Ingram]
20812259	Metabolic engineering of Escherichia coli for the production of cadaverine: a five carbon diamine.	A five carbon linear chain diamine, cadaverine (1,5-diaminopentane), is an important platform chemical having many applications in chemical industry. Bio-based production of cadaverine from renewable feedstock is a promising and sustainable alternative to the petroleum-based chemical synthesis. Here, we report development of a metabolically engineered strain of Escherichia coli that overproduces cadaverine in glucose mineral salts medium. First, cadaverine degradation and utilization pathways were inactivated. Next, L-lysine decarboxylase, which converts L-lysine directly to cadaverine, was amplified by plasmid-based overexpression of the cadA gene under the strong tac promoter. Furthermore, the L-lysine biosynthetic pool was increased by the overexpression of the dapA gene encoding dihydrodipicolinate synthase through the replacement of the native promoter with the strong trc promoter in the genome. The final engineered strain was able to produce 9.61 g L(-1) of cadaverine with a productivity of 0.32 g L(-1) h(-1) by fed-batch cultivation. The strategy reported here should be useful for the bio-based production of cadaverine from renewable resources.	Biotechnology and bioengineering	2011		10.1002/bit.22918	Journal Article,Research Support, Non-U.S. Gov't,	[ForeName:Zhi-Gang,LastName:Qian] [ForeName:Xiao-Xia,LastName:Xia] [ForeName:Sang Yup,LastName:Lee]
