,PMID,Title,Year,PMC_ID,Organisms,Products,Genes_and_modifications
57,11115399,Escherichia coli engineered to synthesize isopentenyl diphosphate and dimethylallyl diphosphate from mevalonate: a novel system for the genetic analysis of the 2-C-methyl-d-erythritol 4-phosphate pathway for isoprenoid biosynthesis.,2001,1221543,['Escherichia coli'],['Lipids'],
58,11118584,Genetic strategies to enhance penicillin acylase production in Escherichia coli.,2000,,['Escherichia coli'],['Penicillinacylase'],
59,11118589,Metabolic flux analyses for serine alkaline protease production.,2000,,['Bacillus licheniformis'],['Enzymes'],
60,11120642,Choline import into chloroplasts limits glycine betaine synthesis in tobacco: analysis of plants engineered with a chloroplastic or a cytosolic pathway.,2000,,,['Glycinebetaine'],
61,11120644,Low-copy plasmids can perform as well as or better than high-copy plasmids for metabolic engineering of bacteria.,2000,,['Escherichia coli'],"['Lticopyplasmid', 'Carotenoids']",
62,11129052,Analysis of genes involved in 6-deoxyhexose biosynthesis and transfer in Saccharopolyspora erythraea.,2000,,['Saccharopolyspora erythraea'],['Deoxyhexose'],"{'eryBVII': ['Positive', 'Negative']}"
63,11131389,Characterization of salt-tolerant mutant for enhancement of L-threonine production in Escherichia coli.,2000,,['Escherichia coli'],['Amino acids'],
64,11131394,"Targeted, PCR-based gene disruption in cyanobacteria: inactivation of the polyhydroxyalkanoic acid synthase genes in Synechocystis sp. PCC6803.",2000,,,['Genecassette'],
65,11133422,Gene integration and expression and extracellular secretion of Erwinia chrysanthemi endoglucanase CelY (celY) and CelZ (celZ) in ethanologenic Klebsiella oxytoca P2.,2001,92505,['Klebsiella oxytoca'],['Cellulaseenzyme'],
66,11134522,Metabolic engineering of plant alkaloid biosynthesis.,2001,14596,,['Alkaloid'],
67,11135695,[Targeting studies of humanized scFv25 fusing to TNFalpha against hepatocellular carcinoma].,2000,,,,
68,11137817,"Cloning, sequencing and analysis of the enterocin biosynthesis gene cluster from the marine isolate 'Streptomyces maritimus': evidence for the derailment of an aromatic polyketide synthase.",2000,,['Streptomyces maritimus'],['Enterocin'],
69,11150509,Intracellular trehalose improves osmotolerance but not desiccation tolerance in mammalian cells.,2000,,"['Escherichia coli', 'Saccharomyces cerevisiae']",['Trehaloseresistance'],"{'cel': ['Other'], 'otsA': ['Positive'], 'otsB': ['Positive'], 'tre1': ['Positive']}"
70,11165359,Metabolic engineering of bacteria for environmental applications: construction of Pseudomonas strains for biodegradation of 2-chlorotoluene.,2001,,,,
71,11170480,Precursor balancing for metabolic engineering of lycopene production in Escherichia coli.,2001,,['Escherichia coli'],['Carotenoids'],
72,11171161,Production of C20 polyunsaturated fatty acids (PUFAs) by pathway engineering: identification of a PUFA elongase component from Caenorhabditis elegans.,2000,,,,
73,11171262,Utility of the Arabidopsis FAE1 and yeast SLC1-1 genes for improvements in erucic acid and oil content in rapeseed.,2000,,,['Nylon1313'],
74,11171263,High-oleic acid Australian Brassica napus and B. juncea varieties produced by co-suppression of endogenous Delta12-desaturases.,2000,,,['Australian'],
75,11180061,Metabolic engineering of the nonmevalonate isopentenyl diphosphate synthesis pathway in Escherichia coli enhances lycopene production.,2001,,['Escherichia coli'],['Carotenoids'],"{'dxr': ['Positive'], 'dxs': ['Positive']}"
76,11198815,Combinatorial biochemistry in plants: the case of O-methyltransferases.,2001,,,['Polyketide'],
77,11214801,Enhancing desulphurization by engineering a flavin reductase-encoding gene cassette in recombinant biocatalysts.,2000,,"['Rhodococcus erythropolis', 'Escherichia coli']",,{'hpaC': ['Positive']}
78,11224575,Structures of two natural product methyltransferases reveal the basis for substrate specificity in plant O-methyltransferases.,2001,,,,
79,11230695,Biosynthesis of complex polyketides in a metabolically engineered strain of E. coli.,2001,,['Escherichia coli'],['Polyketide'],
80,11244075,Engineered fatty acid biosynthesis in Streptomyces by altered catalytic function of beta-ketoacyl-acyl carrier protein synthase III.,2001,95142,"['Streptomyces glaucescens', 'Escherichia coli']",['Ketoacylacylcarrierproteinsynthase'],"{'fabH': ['Other', 'Negative', 'Positive']}"
81,11251290,Design and utility of oligonucleotide gene probes for fungal polyketide synthases.,2001,,"['Sorangium cellulosum', 'Bacillus subtilis', 'Aspergillus nidulans', 'Streptomyces coelicolor', 'Saccharomyces cerevisiae']",['Polyketide'],
82,11264745,A directed approach to the selection of bacteria with enhanced catabolic activity.,2001,,,,
83,11274098,GcpE is involved in the 2-C-methyl-D-erythritol 4-phosphate pathway of isoprenoid biosynthesis in Escherichia coli.,2001,95155,['Escherichia coli'],['Lipids'],"{'dxr': ['Negative'], 'gcpE': ['Negative', 'Other']}"
84,11294879,Engineering delta 9-16:0-acyl carrier protein (ACP) desaturase specificity based on combinatorial saturation mutagenesis and logical redesign of the castor delta 9-18:0-ACP desaturase.,2001,,['Escherichia coli'],,
85,11312715,"Effects of culture conditions on enhancement of 2,4-dinitrotoluene degradation by Burkholderia engineered with the Vitreoscilla hemoglobin gene.",2001,,,['Hemoglobin'],
86,11319114,Applications of gene replacement technology to Streptomyces clavuligerus strain development for clavulanic acid production.,2001,92869,['Streptomyces clavuligerus'],['Clavulanate'],"{'lat': ['Positive', 'Negative', 'Other']}"
87,11325924,Engineering a homo-ethanol pathway in Escherichia coli: increased glycolytic flux and levels of expression of glycolytic genes during xylose fermentation.,2001,95196,['Escherichia coli'],['Succinate'],"{'adhB': ['Positive'], 'gpmB': ['Positive'], 'pdc': ['Positive'], 'rpiA': ['Positive'], 'rpiB': ['Positive'], 'talB': ['Positive'], 'tktA': ['Positive'], 'xyl': ['Positive'], 'xylAB': ['Positive'], 'yibO': ['Positive']}"
88,11330198,[Cloning and expression of the genes of glutathione synthetases].,2001,,['Escherichia coli'],,
89,11330714,"Gene synthesis, expression in E. coli, and in vitro refolding of Pseudomonas sp. KWI 56 and Chromobacterium viscosum lipases and their chaperones.",2001,,['Chromobacterium viscosum'],['Additive'],
90,11353413,Biosynthesis of poly(3-hydroxybutyrate-co-3-hydroxyvalerate-co-3-hydroxyhexanoate) by metabolically engineered Escherichia coli strains.,2001,,['Escherichia coli'],,
91,11358691,Directed evolution of new glycosynthases from Agrobacterium beta-glucosidase: a general screen to detect enzymes for oligosaccharide synthesis.,2001,,['Escherichia coli'],['Oligosaccharide'],
92,11358694,Engineering a polyketide with a longer chain by insertion of an extra module into the erythromycin-producing polyketide synthase.,2001,,"['Escherichia coli', 'Saccharopolyspora erythraea', 'Streptomyces hygroscopicus']",[''],{'eryA': ['Negative']}
93,11375660,Disruption of a global regulatory gene to enhance central carbon flux into phenylalanine biosynthesis in Escherichia coli.,2001,,['Escherichia coli'],['Amino acids'],{'tktA': ['Positive']}
94,11386362,Engineering biodiversity with type II polyketide synthase genes.,2000,,['Streptomyces coelicolor'],,
95,11386857,Utilization of an alternative carbon source for efficient production of human alpha(1)-antitrypsin by genetically engineered rice cell culture.,2001,,,['1antitrypsin'],
96,11386871,Human chymotrypsinogen B production with Pichia pastoris by integrated development of fermentation and downstream processing. Part 1. Fermentation.,2001,,['Komagataella pastoris'],['Chymotrypsinogen'],
97,11387982,Biosynthesis of beta-carotene (provitamin A) in rice endosperm achieved by genetic engineering.,2001,,,['Carotenoids'],
98,11390679,Pyruvate oxidase contributes to the aerobic growth efficiency of Escherichia coli.,2001,,['Escherichia coli'],['Carbonatom'],"{'poxB': ['Positive', 'Other']}"
99,11414331,Efficiency of naphthalene and salicylate degradation by a recombinant Pseudomonas putida mutant strain defective in glucose metabolism.,2001,,['Pseudomonas putida'],,
100,11418107,"LytB, a novel gene of the 2-C-methyl-D-erythritol 4-phosphate pathway of isoprenoid biosynthesis in Escherichia coli.",2001,,['Escherichia coli'],['Lipids'],
101,11418562,Accumulation of the PhaP phasin of Ralstonia eutropha is dependent on production of polyhydroxybutyrate in cells.,2001,95311,['Cupriavidus necator'],['PHB/PHA'],
102,11427737,Metabolic engineering of essential oil yield and composition in mint by altering expression of deoxyxylulose phosphate reductoisomerase and menthofuran synthase.,2001,37535,['Escherichia coli'],['Chlorophyll'],"{'dxr': ['Negative', 'Other', 'Positive']}"
103,11447132,Redirection of sialic acid metabolism in genetically engineered Escherichia coli.,2001,,['Escherichia coli'],"['Microorganismssialate', 'Acetylneuraminate']","{'nanA': ['Positive', 'Other'], 'nanK': ['Positive'], 'neuA': ['Positive'], 'neuB': ['Other', 'Positive']}"
104,11448966,Engineered biosynthesis of the peptide antibiotic bacitracin in the surrogate host Bacillus subtilis.,2001,,['Bacillus subtilis'],['Antibiotics'],
105,11451665,Engineered biosynthesis of novel polyenes: a pimaricin derivative produced by targeted gene disruption in Streptomyces natalensis.,2001,,['Streptomyces natalensis'],['Polyene'],
106,11451672,"Cloning and characterization of a phosphopantetheinyl transferase from Streptomyces verticillus ATCC15003, the producer of the hybrid peptide-polyketide antitumor drug bleomycin.",2001,,['Streptomyces verticillus'],"['Peptide', 'Polyketide']",
107,11453463,Innovative fermentation strategies for the production of extremophilic enzymes.,2001,,['Escherichia coli'],['Extremophilicenzyme'],
108,11474068,Resistance to an herbivore through engineered cyanogenic glucoside synthesis.,2001,,,['Herbivorecyanogenicglucoside'],
109,11478942,Identification of an expanded set of translationally active methionine analogues in Escherichia coli.,2001,,['Escherichia coli'],['Proteins'],{'ana': ['Negative']}
110,11481443,Enhanced synthesis of choline and glycine betaine in transgenic tobacco plants that overexpress phosphoethanolamine N-methyltransferase.,2001,55567,['Agrobacterium tumefaciens'],['Cholineglycinebetaine'],
111,11485419,Enhancing the atom economy of polyketide biosynthetic processes through metabolic engineering.,2001,,['Streptomyces coelicolor'],['Polyketide'],
112,11488613,Quantification of intracellular metabolites in Escherichia coli K12 using liquid chromatographic-electrospray ionization tandem mass spectrometric techniques.,2001,,['Escherichia coli'],,
113,11494221,Metabolic-flux analysis of continuously cultured hybridoma cells using (13)CO(2) mass spectrometry in combination with (13)C-lactate nuclear magnetic resonance spectroscopy and metabolite balancing.,2001,,,['Mammaliancell'],
114,11499918,Use of catabolite repression mutants for fermentation of sugar mixtures to ethanol.,2001,,['Escherichia coli'],['Ethanol'],
115,11505380,Metabolic engineering of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) composition in recombinant Salmonella enterica serovar typhimurium.,2001,,['Salmonella enterica'],['Polyhydroxyalkanoateoperon'],
116,11505382,Utilizing genetically engineered bacteria to produce plant-specific glucosides.,2001,,['Escherichia coli'],['Glucoside'],
117,11513877,"Use of HDEL-tagged Trichoderma reesei mannosyl oligosaccharide 1,2-alpha-D-mannosidase for N-glycan engineering in Pichia pastoris.",2001,,"['Trichoderma reesei', 'Komagataella pastoris']",['Glycoprotein'],"{'GAP': ['Positive'], 'res': ['Negative']}"
118,11514230,Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes.,2001,,['Streptomyces coelicolor'],['Prodiginine'],"{'redN': ['Negative'], 'redW': ['Negative']}"
119,11515561,Introduction of bacterial metabolism into higher plants by polycistronic transgene expression.,2001,,,"['Polyestermacromolecule', 'PHB/PHA']",
120,11525519,Characterization of transgenic Arabidopsis thaliana with metabolically engineered high levels of p-hydroxybenzylglucosinolate.,2001,,,['Hydroxyphenylacetaldoxime'],
121,11526030,Xylulokinase overexpression in two strains of Saccharomyces cerevisiae also expressing xylose reductase and xylitol dehydrogenase and its effect on fermentation of xylose and lignocellulosic hydrolysate.,2001,93154,['Saccharomyces cerevisiae'],['Ethanol'],"{'XKS1': ['Positive'], 'XYL2': ['Positive']}"
122,11535054,Mapping the functional topology of the animal fatty acid synthase by mutant complementation in vitro.,2001,,,['Fatty acids'],
123,11553806,Biosynthesis of a fluorescent cyanobacterial C-phycocyanin holo-alpha subunit in a heterologous host.,2001,58505,['Escherichia coli'],['Cphycocyaninholoalphasubunit'],
124,11553807,Genetic engineering of phytochrome biosynthesis in bacteria.,2001,58506,['Escherichia coli'],['Lagaria'],
125,11565903,An E. coli expression system for the extracellular secretion of barley alpha-amylase.,2001,,['Escherichia coli'],['Halo'],
126,11573344,Degradation of explosives by nitrate ester reductases.,2001,,['Enterobacter cloacae'],,
127,11587566,Minimal reaction sets for Escherichia coli metabolism under different growth requirements and uptake environments.,2001,,['Escherichia coli'],,
128,11601611,Production of polyhydroxyalkanoates from intact triacylglycerols by genetically engineered Pseudomonas.,2001,,['Pseudomonas putida'],['PHB/PHA'],
129,11676567,Controlling the metabolic flux through the carotenoid pathway using directed mRNA processing and stabilization.,2001,,['Escherichia coli'],['Carotenoids'],
130,11676569,Metabolic consequences of altered phosphoenolpyruvate carboxykinase activity in Corynebacterium glutamicum reveal anaplerotic regulation mechanisms in vivo.,2001,,['Corynebacterium glutamicum'],,"{'pck': ['Negative', 'Positive']}"
131,11676571,Biosynthetic pathway of cephabacins in Lysobacter lactamgenus: molecular and biochemical characterization of the upstream region of the gene clusters for engineering of novel antibiotics.,2001,,['Lysobacter lactamgenus'],['Cephabacin'],
132,11687940,Recombinant Escherichia coli engineered for production of L-lactic acid from hexose and pentose sugars.,2001,,['Escherichia coli'],['Lactate'],"{'ldh': ['Positive'], 'ldhA': ['Other'], 'pfl': ['Other'], 'ppc': ['Positive']}"
133,11693913,Fermentation of starch for enhanced alkaline protease production by constructing an alkalophilic Bacillus pumilus strain.,2001,,['Bacillus pumilus'],['Enzymes'],
134,11693915,Effect of overexpression of Saccharomyces cerevisiae Pad1p on the resistance to phenylacrylic acids and lignocellulose hydrolysates under aerobic and oxygen-limited conditions.,2001,,['Saccharomyces cerevisiae'],['Ethanol'],
135,11702708,[Studies on synthesis of glutathione by E. coli BL21 (pTrc-gsh) coupled with Saccharomyces cerevisiae].,2001,,['Saccharomyces cerevisiae'],['Glutathionate1'],
136,11722541,Genetically engineered Pseudomonas: a factory of new bioplastics with broad applications.,2001,,['Pseudomonas putida'],['Macromolecule'],"{'fadB': ['Other', 'Negative']}"
137,11722930,Engineering cytochrome P450 BM-3 for oxidation of polycyclic aromatic hydrocarbons.,2001,93367,['Priestia megaterium'],['Bm3'],
138,11739899,Engineering the CYP101 system for in vivo oxidation of unnatural substrates.,2001,,"['Escherichia coli', 'Pseudomonas putida']",['Fine'],"{'camA': ['Negative'], 'camC': ['Positive']}"
139,11745125,Acetate-inducible protein overexpression from the glnAp2 promoter of Escherichia coli.,2001,,['Escherichia coli'],['Proteins'],{'pta': ['Negative']}
140,11747421,Alteration of the substrate specificity of a modular polyketide synthase acyltransferase domain through site-specific mutations.,2001,,['Escherichia coli'],['Polyketide'],
141,11749180,Production of poly(3-hydroxybutyrate-co-3-hydroxyhexanoate) by metabolically engineered Escherichia coli strains.,2001,,['Escherichia coli'],,{'orf1': ['Positive']}
142,11750689,RNA interference by feeding in Paramecium.,2002,,,,
143,11752431,Studies on the nonmevalonate pathway to terpenes: the role of the GcpE (IspG) protein.,2001,64945,['Escherichia coli'],['Hydroxy2methyl2ebutenyl4diphosphate'],"{'gcpE': ['Positive'], 'xylB': ['Positive']}"
144,11755990,Expression of recombinant cytoplasmic yeast pyruvate carboxylase for the improvement of the production of human erythropoietin by recombinant BHK-21 cells.,2002,,,['Erythropoietin'],
145,11772608,Improvement of cellulolytic properties of Clostridium cellulolyticum by metabolic engineering.,2002,126586,['Zymomonas mobilis'],['Lactate'],
146,11786554,A new substrate specificity for acyl transferase domains of the ascomycin polyketide synthase in Streptomyces hygroscopicus.,2002,,['Streptomyces hygroscopicus'],['Antibiotics'],
147,11792456,Recombinant microorganisms as environmental biosensors: pollutants detection by Escherichia coli bearing fabA'::lux fusions.,2002,,['Escherichia coli'],['Fatty acids'],
148,11818558,Studies on the nonmevalonate terpene biosynthetic pathway: metabolic role of IspH (LytB) protein.,2002,122160,['Escherichia coli'],['Terpene'],"{'ispH': ['Positive'], 'lytB': ['Positive']}"
149,11821927,Physiological characterization and genetic engineering of Pseudomonas corrugata for medium-chain-length polyhydroxyalkanoates synthesis from triacylglycerols.,2002,,['Pseudomonas corrugata'],['PHB/PHA'],
150,11823219,Enhanced exopolysaccharide production by metabolic engineering of Streptococcus thermophilus.,2002,126717,['Streptococcus thermophilus'],['Cleotide'],"{'galU': ['Positive'], 'pgmA': ['Negative']}"
151,11825887,Elucidation of the metabolic fate of glucose in the filamentous fungus Trichoderma reesei using expressed sequence tag (EST) analysis and cDNA microarrays.,2002,,['Trichoderma reesei'],['Atp4'],
152,11841940,Expression analysis of the tylosin-biosynthetic gene cluster: pivotal regulatory role of the tylQ product.,2002,,"['Micrococcus luteus', 'Streptomyces fradiae', 'Escherichia coli']",['Antibiotics'],
153,11851812,A 3.1-kb genomic fragment of Bacillus subtilis encodes the protein inhibiting growth of Xanthomonas oryzae pv. oryzae.,2001,,"['Xanthomonas oryzae', 'Bacillus subtilis']",['Demain'],"{'pld2': ['Negative'], 'ybcS': ['Negative']}"
154,11854482,Optimizing bioconversion pathways through systems analysis and metabolic engineering.,2002,122274,['Escherichia coli'],['Other biofuels'],
155,11872452,Flux through citrate synthase limits the growth of ethanologenic Escherichia coli KO11 during xylose fermentation.,2002,123777,['Escherichia coli'],['Ethanol'],{'citZ': ['Positive']}
156,11872456,Engineering of a Bacillus subtilis strain with adjustable levels of intracellular biotin for secretory production of functional streptavidin.,2002,123784,['Bacillus subtilis'],['Streptavidin'],"{'bioW': ['Positive', 'Other'], 'spr': ['Positive']}"
157,11910763,[Establishment of detective systems for GL-7ACA acylase expression].,2001,,,['Aminocephalosporanate'],
158,11914362,Effect of aniA (carbon flux regulator) and PhaC (poly-beta-hydroxybutyrate synthase) mutations on pyruvate metabolism in Rhizobium etli.,2002,134968,['Rhizobium etli'],"['PHB/PHA', 'Polycid:2hydroxybutyrate']",{'PYC': ['Positive']}
159,11916689,Effects of growth mode and pyruvate carboxylase on succinic acid production by metabolically engineered strains of Escherichia coli.,2002,123851,['Escherichia coli'],['Succinate'],{'ptsG': ['Other']}
160,11920450,"Engineering of baker's yeasts, E. coli and Bacillus hosts for the production of Bacillus subtilis Lipase A.",2002,,"['Escherichia coli', 'Saccharomyces cerevisiae', 'Bacillus subtilis']",['Enzymes'],
161,11923277,Engineering-enhanced protein secretory expression in yeast with application to insulin.,2002,,,,
162,11927254,Engineered urdamycin glycosyltransferases are broadened and altered in substrate specificity.,2002,,"['Escherichia coli', 'Bacillus subtilis']",['Aglycone'],{'tem': ['Positive']}
163,11932446,"Metabolic engineering of lactic acid bacteria, the combined approach: kinetic modelling, metabolic control and experimental analysis.",2002,,['Lactococcus lactis'],,
164,11934294,An efficient enzymatic Baeyer-Villiger oxidation by engineered Escherichia coli cells under non-growing conditions.,2002,,['Escherichia coli'],,
