,Title,Product_category
10931852,"Cloning, nucleotide sequence, and heterologous expression of the biosynthetic gene cluster for R1128, a non-steroidal estrogen receptor antagonist. Insights into an unusual priming mechanism.",['fatty acid']
10932161,Metabolic engineering of astaxanthin production in tobacco flowers.,['carotenoid']
10935936,Optimization of ethanol production in Saccharomyces cerevisiae by metabolic engineering of the ammonium assimilation.,['ethanol']
10956042,Substrate specificity of the loading didomain of the erythromycin polyketide synthase.,['polyketide']
10966398,Metabolic engineering of Lactobacillus helveticus CNRZ32 for production of pure L-(+)-lactic acid.,['lactate']
10966436,Lactococcus lactis as a cell factory for high-level diacetyl production.,['butane23dione']
10966444,Anhydrobiotic engineering of gram-negative bacteria.,['trehalose']
10972798,Biosynthesis of the anti-parasitic agent megalomicin: transformation of erythromycin to megalomicin in Saccharopolyspora erythraea.,['antibiotic']
10973220,Identification of a cyclohexylcarbonyl CoA biosynthetic gene cluster and application in the production of doramectin.,['antibiotic']
11001063,Peptide cyclization catalysed by the thioesterase domain of tyrocidine synthetase.,['macrocyclic']
11004185,Evidence of a role for LytB in the nonmevalonate pathway of isoprenoid biosynthesis.,['lipid']
11010904,Metabolic engineering of an aerobic sulfate reduction pathway and its application to precipitation of cadmium on the cell surface.,['excess']
11027301,Substrate-dependent mutant complementation to select fatty acid desaturase variants for metabolic engineering of plant seed oils.,['unusual']
11033080,Aminoacyl-SNACs as small-molecule substrates for the condensation domains of nonribosomal peptide synthetases.,['peptide']
11048953,The biosynthetic gene cluster for the antitumor drug bleomycin from Streptomyces verticillus ATCC15003 supporting functional interactions between nonribosomal peptide synthetases and a polyketide synthase.,['¢ve']
11055930,Integrative food-grade expression system based on the lactose regulon of Lactobacillus casei.,['butane23dione']
11064336,Effective production of a thermostable alpha-glucosidase from Sulfolobus solfataricus in Escherichia coli exploiting a microfiltration bioreactor.,['glucosidase']
11080650,Effects of sugar concentration on recombinant human alpha(1)-antitrypsin production by genetically engineered rice cell.,['1antitrypsin']
11097884,Cofactor regeneration by a soluble pyridine nucleotide transhydrogenase for biological production of hydromorphone.,['hydromorphone']
11101317,Directed evolution of metabolically engineered Escherichia coli for carotenoid production.,['carotenoid']
11101319,"Enhanced production of (R)-1,2-propanediol by metabolically engineered Escherichia coli.",['propanediol']
11101808,Increasing galactose consumption by Saccharomyces cerevisiae through metabolic engineering of the GAL gene regulatory network.,['prototroph']
11114930,Proteome analysis of metabolically engineered Escherichia coli producing Poly(3-hydroxybutyrate).,['PHB/PHA']
11115399,Escherichia coli engineered to synthesize isopentenyl diphosphate and dimethylallyl diphosphate from mevalonate: a novel system for the genetic analysis of the 2-C-methyl-d-erythritol 4-phosphate pathway for isoprenoid biosynthesis.,['lipid']
11118584,Genetic strategies to enhance penicillin acylase production in Escherichia coli.,['penicillinacylase']
11118589,Metabolic flux analyses for serine alkaline protease production.,['enzyme']
11120642,Choline import into chloroplasts limits glycine betaine synthesis in tobacco: analysis of plants engineered with a chloroplastic or a cytosolic pathway.,['glycinebetaine']
11120644,Low-copy plasmids can perform as well as or better than high-copy plasmids for metabolic engineering of bacteria.,"['lticopyplasmid', 'carotenoid']"
11129052,Analysis of genes involved in 6-deoxyhexose biosynthesis and transfer in Saccharopolyspora erythraea.,['deoxyhexose']
11131389,Characterization of salt-tolerant mutant for enhancement of L-threonine production in Escherichia coli.,['amino acid']
11131394,"Targeted, PCR-based gene disruption in cyanobacteria: inactivation of the polyhydroxyalkanoic acid synthase genes in Synechocystis sp. PCC6803.",['genecassette']
11133422,Gene integration and expression and extracellular secretion of Erwinia chrysanthemi endoglucanase CelY (celY) and CelZ (celZ) in ethanologenic Klebsiella oxytoca P2.,['cellulaseenzyme']
11134522,Metabolic engineering of plant alkaloid biosynthesis.,['alkaloid']
11137817,"Cloning, sequencing and analysis of the enterocin biosynthesis gene cluster from the marine isolate 'Streptomyces maritimus': evidence for the derailment of an aromatic polyketide synthase.",['enterocin']
11150509,Intracellular trehalose improves osmotolerance but not desiccation tolerance in mammalian cells.,['trehaloseresistance']
11170480,Precursor balancing for metabolic engineering of lycopene production in Escherichia coli.,['carotenoid']
11171161,Production of C20 polyunsaturated fatty acids (PUFAs) by pathway engineering: identification of a PUFA elongase component from Caenorhabditis elegans.,
11171262,Utility of the Arabidopsis FAE1 and yeast SLC1-1 genes for improvements in erucic acid and oil content in rapeseed.,['nylon1313']
11171263,High-oleic acid Australian Brassica napus and B. juncea varieties produced by co-suppression of endogenous Delta12-desaturases.,['australian']
11180061,Metabolic engineering of the nonmevalonate isopentenyl diphosphate synthesis pathway in Escherichia coli enhances lycopene production.,['carotenoid']
11198815,Combinatorial biochemistry in plants: the case of O-methyltransferases.,['polyketide']
11230695,Biosynthesis of complex polyketides in a metabolically engineered strain of E. coli.,['polyketide']
11244075,Engineered fatty acid biosynthesis in Streptomyces by altered catalytic function of beta-ketoacyl-acyl carrier protein synthase III.,['ketoacylacylcarrierproteinsynthase']
11251290,Design and utility of oligonucleotide gene probes for fungal polyketide synthases.,['polyketide']
11274098,GcpE is involved in the 2-C-methyl-D-erythritol 4-phosphate pathway of isoprenoid biosynthesis in Escherichia coli.,['lipid']
11312715,"Effects of culture conditions on enhancement of 2,4-dinitrotoluene degradation by Burkholderia engineered with the Vitreoscilla hemoglobin gene.",['hemoglobin']
11319114,Applications of gene replacement technology to Streptomyces clavuligerus strain development for clavulanic acid production.,['clavulanate']
11325924,Engineering a homo-ethanol pathway in Escherichia coli: increased glycolytic flux and levels of expression of glycolytic genes during xylose fermentation.,['succinate2']
11330714,"Gene synthesis, expression in E. coli, and in vitro refolding of Pseudomonas sp. KWI 56 and Chromobacterium viscosum lipases and their chaperones.",['additive']
11358691,Directed evolution of new glycosynthases from Agrobacterium beta-glucosidase: a general screen to detect enzymes for oligosaccharide synthesis.,['oligosaccharide']
11358694,Engineering a polyketide with a longer chain by insertion of an extra module into the erythromycin-producing polyketide synthase.,['']
11375660,Disruption of a global regulatory gene to enhance central carbon flux into phenylalanine biosynthesis in Escherichia coli.,['amino acid']
11386362,Engineering biodiversity with type II polyketide synthase genes.,
11386857,Utilization of an alternative carbon source for efficient production of human alpha(1)-antitrypsin by genetically engineered rice cell culture.,['1antitrypsin']
11386871,Human chymotrypsinogen B production with Pichia pastoris by integrated development of fermentation and downstream processing. Part 1. Fermentation.,['chymotrypsinogen']
11387982,Biosynthesis of beta-carotene (provitamin A) in rice endosperm achieved by genetic engineering.,['carotenoid']
11390679,Pyruvate oxidase contributes to the aerobic growth efficiency of Escherichia coli.,['carbonatom']
11418107,"LytB, a novel gene of the 2-C-methyl-D-erythritol 4-phosphate pathway of isoprenoid biosynthesis in Escherichia coli.",['lipid']
11418562,Accumulation of the PhaP phasin of Ralstonia eutropha is dependent on production of polyhydroxybutyrate in cells.,['PHB/PHA']
11427737,Metabolic engineering of essential oil yield and composition in mint by altering expression of deoxyxylulose phosphate reductoisomerase and menthofuran synthase.,['chlorophyll']
11447132,Redirection of sialic acid metabolism in genetically engineered Escherichia coli.,"['microorganismssialate', 'acetylneuraminate']"
11448966,Engineered biosynthesis of the peptide antibiotic bacitracin in the surrogate host Bacillus subtilis.,['antibiotic']
11451665,Engineered biosynthesis of novel polyenes: a pimaricin derivative produced by targeted gene disruption in Streptomyces natalensis.,['polyene']
11451672,"Cloning and characterization of a phosphopantetheinyl transferase from Streptomyces verticillus ATCC15003, the producer of the hybrid peptide-polyketide antitumor drug bleomycin.","['peptide', 'polyketide']"
11453463,Innovative fermentation strategies for the production of extremophilic enzymes.,['extremophilicenzyme']
11474068,Resistance to an herbivore through engineered cyanogenic glucoside synthesis.,['herbivorecyanogenicglucoside']
11478942,Identification of an expanded set of translationally active methionine analogues in Escherichia coli.,['protein']
11481443,Enhanced synthesis of choline and glycine betaine in transgenic tobacco plants that overexpress phosphoethanolamine N-methyltransferase.,['cholineglycinebetaine']
11485419,Enhancing the atom economy of polyketide biosynthetic processes through metabolic engineering.,['polyketide']
11494221,Metabolic-flux analysis of continuously cultured hybridoma cells using (13)CO(2) mass spectrometry in combination with (13)C-lactate nuclear magnetic resonance spectroscopy and metabolite balancing.,['mammaliancell']
11499918,Use of catabolite repression mutants for fermentation of sugar mixtures to ethanol.,['ethanol']
11505380,Metabolic engineering of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) composition in recombinant Salmonella enterica serovar typhimurium.,['polyhydroxyalkanoateoperon']
11505382,Utilizing genetically engineered bacteria to produce plant-specific glucosides.,['glucoside']
11513877,"Use of HDEL-tagged Trichoderma reesei mannosyl oligosaccharide 1,2-alpha-D-mannosidase for N-glycan engineering in Pichia pastoris.",['glycoprotein']
11514230,Analysis of the prodiginine biosynthesis gene cluster of Streptomyces coelicolor A3(2): new mechanisms for chain initiation and termination in modular multienzymes.,['prodiginine']
11515561,Introduction of bacterial metabolism into higher plants by polycistronic transgene expression.,"['polyestermacromolecule', 'PHB/PHA']"
11525519,Characterization of transgenic Arabidopsis thaliana with metabolically engineered high levels of p-hydroxybenzylglucosinolate.,['hydroxyphenylacetaldoxime']
11526030,Xylulokinase overexpression in two strains of Saccharomyces cerevisiae also expressing xylose reductase and xylitol dehydrogenase and its effect on fermentation of xylose and lignocellulosic hydrolysate.,['ethanol']
11535054,Mapping the functional topology of the animal fatty acid synthase by mutant complementation in vitro.,['fatty acid']
11553806,Biosynthesis of a fluorescent cyanobacterial C-phycocyanin holo-alpha subunit in a heterologous host.,['cphycocyaninholoalphasubunit']
11553807,Genetic engineering of phytochrome biosynthesis in bacteria.,['lagaria']
11565903,An E. coli expression system for the extracellular secretion of barley alpha-amylase.,['halo']
11601611,Production of polyhydroxyalkanoates from intact triacylglycerols by genetically engineered Pseudomonas.,['PHB/PHA']
11676567,Controlling the metabolic flux through the carotenoid pathway using directed mRNA processing and stabilization.,['carotenoid']
11676571,Biosynthetic pathway of cephabacins in Lysobacter lactamgenus: molecular and biochemical characterization of the upstream region of the gene clusters for engineering of novel antibiotics.,['cephabacin']
11687940,Recombinant Escherichia coli engineered for production of L-lactic acid from hexose and pentose sugars.,['lactate']
11693913,Fermentation of starch for enhanced alkaline protease production by constructing an alkalophilic Bacillus pumilus strain.,['enzyme']
11693915,Effect of overexpression of Saccharomyces cerevisiae Pad1p on the resistance to phenylacrylic acids and lignocellulose hydrolysates under aerobic and oxygen-limited conditions.,['ethanol']
11702708,[Studies on synthesis of glutathione by E. coli BL21 (pTrc-gsh) coupled with Saccharomyces cerevisiae].,['glutathionate1']
11722541,Genetically engineered Pseudomonas: a factory of new bioplastics with broad applications.,['macromolecule']
11722930,Engineering cytochrome P450 BM-3 for oxidation of polycyclic aromatic hydrocarbons.,['bm3']
11739899,Engineering the CYP101 system for in vivo oxidation of unnatural substrates.,['fine']
11745125,Acetate-inducible protein overexpression from the glnAp2 promoter of Escherichia coli.,['protein']
11747421,Alteration of the substrate specificity of a modular polyketide synthase acyltransferase domain through site-specific mutations.,['polyketide']
11752431,Studies on the nonmevalonate pathway to terpenes: the role of the GcpE (IspG) protein.,['hydroxy2methyl2ebutenyl4diphosphate']
11755990,Expression of recombinant cytoplasmic yeast pyruvate carboxylase for the improvement of the production of human erythropoietin by recombinant BHK-21 cells.,['erythropoietin']
11772608,Improvement of cellulolytic properties of Clostridium cellulolyticum by metabolic engineering.,['lactate']
11786554,A new substrate specificity for acyl transferase domains of the ascomycin polyketide synthase in Streptomyces hygroscopicus.,['antibiotic']
11792456,Recombinant microorganisms as environmental biosensors: pollutants detection by Escherichia coli bearing fabA'::lux fusions.,['fatty acid']
11818558,Studies on the nonmevalonate terpene biosynthetic pathway: metabolic role of IspH (LytB) protein.,['terpene']
11821927,Physiological characterization and genetic engineering of Pseudomonas corrugata for medium-chain-length polyhydroxyalkanoates synthesis from triacylglycerols.,['PHB/PHA']
11823219,Enhanced exopolysaccharide production by metabolic engineering of Streptococcus thermophilus.,['cleotide']
11825887,Elucidation of the metabolic fate of glucose in the filamentous fungus Trichoderma reesei using expressed sequence tag (EST) analysis and cDNA microarrays.,['atp4']
11841940,Expression analysis of the tylosin-biosynthetic gene cluster: pivotal regulatory role of the tylQ product.,['antibiotic']
11851812,A 3.1-kb genomic fragment of Bacillus subtilis encodes the protein inhibiting growth of Xanthomonas oryzae pv. oryzae.,['demain']
11854482,Optimizing bioconversion pathways through systems analysis and metabolic engineering.,['other biofuel']
11872452,Flux through citrate synthase limits the growth of ethanologenic Escherichia coli KO11 during xylose fermentation.,['ethanol']
11872456,Engineering of a Bacillus subtilis strain with adjustable levels of intracellular biotin for secretory production of functional streptavidin.,['streptavidin']
11910763,[Establishment of detective systems for GL-7ACA acylase expression].,['aminocephalosporanate']
11914362,Effect of aniA (carbon flux regulator) and PhaC (poly-beta-hydroxybutyrate synthase) mutations on pyruvate metabolism in Rhizobium etli.,"['PHB/PHA', 'polycid:2hydroxybutyrate']"
11916689,Effects of growth mode and pyruvate carboxylase on succinic acid production by metabolically engineered strains of Escherichia coli.,['succinate2']
11920450,"Engineering of baker's yeasts, E. coli and Bacillus hosts for the production of Bacillus subtilis Lipase A.",['enzyme']
11927254,Engineered urdamycin glycosyltransferases are broadened and altered in substrate specificity.,['aglycone']
11934354,Genetically modified parthenocarpic eggplants: improved fruit productivity under both greenhouse and open field cultivation.,['parthenocarpic']
11935177,Importance of redox balance on the production of succinic acid by metabolically engineered Escherichia coli.,['succinate2']
11938465,Production of a novel FK520 analog in Streptomyces hygroscopicus: improving titer while minimizing impurities.,['fk520analog']
11955068,Metabolic engineering of a methylmalonyl-CoA mutase-epimerase pathway for complex polyketide biosynthesis in Escherichia coli.,['polyketide']
11963842,Comparative ethanol productivities of different Zymomonas recombinants fermenting oat hull hydrolysate.,['enzyme']
11988503,"The ARO4 gene of Candida albicans encodes a tyrosine-sensitive DAHP synthase: evolution, functional conservation and phenotype of Aro3p-, Aro4p-deficient mutants.",['aromaticaminoacid']
11988513,Identification of novel sulfur-containing bacterial polyesters: biosynthesis of poly(3-hydroxy-S-propyl-omega-thioalkanoates) containing thioether linkages in the side chains.,['poly3hydroxyspropylomegathioalkanoate']
12018270,"Performance testing of Zymomonas mobilis metabolically engineered for cofermentation of glucose, xylose, and arabinose.",['enzyme']
12039719,Isomaltulose synthase from Klebsiella sp. strain LX3: gene cloning and characterization and engineering of thermostability.,['sucrose']
12039737,Metabolic engineering of glycerol production in Saccharomyces cerevisiae.,['glycerol']
12039744,Cloning and characterization of the Zymobacter palmae pyruvate decarboxylase gene (pdc) and comparison to bacterial homologues.,['ethanol']
12060743,The biosynthetic gene cluster of the maytansinoid antitumor agent ansamitocin from Actinosynnema pretiosum.,['maytansinoid']
12074085,Application of metabolic engineering to improve both the production and use of biotech indigo.,['tech']
12079784,Engineering deoxysugar biosynthetic pathways from antibiotic-producing microorganisms. A tool to produce novel glycosylated bioactive compounds.,['oleandrose']
12084982,"In vivo fucosylation of lacto-N-neotetraose and lacto-N-neohexaose by heterologous expression of Helicobacter pylori alpha-1,3 fucosyltransferase in engineered Escherichia coli.",['fucosylatednacetyllactosamineoligosaccharide']
12089005,Process and metabolic strategies for improved production of Escherichia coli-derived 6-deoxyerythronolide B.,['deoxyerythronolide']
12089012,Wine yeast strains engineered for glycogen overproduction display enhanced viability under glucose deprivation conditions.,['glycogen']
12089046,"Biodegradation of 1,2,3-trichloropropane through directed evolution and heterologous expression of a haloalkane dehalogenase gene.",['intentionaltcp']
12089320,The final acylation step in taxol biosynthesis: cloning of the taxoid C13-side-chain N-benzoyltransferase from Taxus.,['paclitaxel']
12089557,Genetic engineering of aminodeoxyhexose biosynthesis in Streptomyces fradiae.,['aminodeoxyhexose']
12110893,Overexpression of beta-carotene hydroxylase enhances stress tolerance in Arabidopsis.,['oxygenatom']
12111150,Metabolic engineering of Saccharomyces cerevisiae for production of novel lipid compounds.,['lipid']
12112241,Dehydroepiandrosterone (DHEA) metabolism in Saccharomyces cerevisiae expressing mammalian steroid hydroxylase CYP7B: Ayr1p and Fox2p display 17beta-hydroxysteroid dehydrogenase activity.,"['fegersheimbp', 'lillyfrance']"
12115428,Metabolic pathway analysis of a recombinant yeast for rational strain development.,['PHB/PHA']
12120151,Engineered biosynthesis of novel spinosyns bearing altered deoxyhexose substituents.,['spinosyn']
12141877,A new cytotoxic epothilone from modified polyketide synthases heterologously expressed in Myxococcus xanthus.,['epothilone']
12153300,"Improving 1,3-propanediol production from glycerol in a metabolically engineered Escherichia coli by reducing accumulation of sn-glycerol-3-phosphate.",['propanediol']
12165297,Long chain polyunsaturated fatty acid production and partitioning to triacylglycerols in four microalgae.,['fatty acid']
12193782,C-O bond formation by polyketide synthases.,['nonactin']
12198182,Biosynthesis of terpenes: studies on 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase.,['terpene']
12209828,Inverse metabolic engineering: a strategy for directed genetic engineering of useful phenotypes.,['hemoglobcould']
12241042,Carbon flux analysis in a pantothenate overproducing Corynebacterium glutamicum strain.,['pantothenate']
12323376,A gene cluster from a marine Streptomyces encoding the biosynthesis of the aromatic spiroketal polyketide griseorhodin A.,['aromaticspiroketalpolyketide']
12324313,Functional expression of enterobacterial O-polysaccharide biosynthesis enzymes in Bacillus subtilis.,['enzyme']
12324314,Engineering of primary carbon metabolism for improved antibiotic production in Streptomyces lividans.,['antibiotic']
12324364,Direct and efficient production of ethanol from cellulosic material with a yeast strain displaying cellulolytic enzymes.,['ethanol']
12351232,"Cellulomonas flavigena: characterization of an endo-1,4-xylanase tightly induced by sugarcane bagasse.",['xyncfla']
12351234,Metabolic engineering of Escherichia coli for the production of medium-chain-length polyhydroxyalkanoates rich in specific monomers.,['polyhydroxyalkanoaterich']
12384577,Bottlenecks for metabolic engineering of isoflavone glycoconjugates in Arabidopsis.,['anthocyanin']
12406762,Metabolic engineering of acetaldehyde production by Streptococcus thermophilus.,['acetaldehyde']
12407454,Fermentation of sugar mixtures using Escherichia coli catabolite repression mutants engineered for production of L-lactic acid.,['lactate']
12413786,Integration of production and aqueous two-phase systems extraction of extracellular Fusarium solani pisi cutinase fusion proteins.,['twophase']
12435501,Heterologous expression of nonribosomal peptide synthetases in B. subtilis: construction of a bi-functional B subtilis/E coli shuttle vector system.,['antibiotic']
12445768,"Structure, biosynthetic origin, and engineered biosynthesis of calcium-dependent antibiotics from Streptomyces coelicolor.",['antibiotic']
12450840,Novel food-grade plasmid vector based on melibiose fermentation for the genetic engineering of Lactococcus lactis.,['starter']
12475617,Expression of a Streptomyces 3-hydroxysteroid oxidase gene in oilseeds for converting phytosterols to phytostanols.,['other biofuel']
12482950,Discovery of sulfated metabolites in mycobacteria with a genetic and mass spectrometric approach.,['trehalose2sulfate']
12498889,The albonoursin gene Cluster of S noursei biosynthesis of diketopiperazine metabolites independent of nonribosomal peptide synthetases.,['diketopiperazine']
12514000,Synthesis of GDP-mannose and mannosylglycerate from labeled mannose by genetically engineered Escherichia coli without loss of specific isotopic enrichment.,['gdpmannosemannosylglycerate']
12514021,Production of optically pure D-lactic acid in mineral salts medium by metabolically engineered Escherichia coli W3110.,['lactate']
12514739,Total biosynthesis of hydrocortisone from a simple carbon source in yeast.,['cortisol']
12514800,Synthesis of 3-tert-butylcatechol by an engineered monooxygenase.,['tertbutylcatechol']
12524550,Engineering increased vitamin C levels in plants by overexpression of a D-galacturonic acid reductase.,['ascorbate']
12529882,Use of the two-liquid phase concept to exploit kinetically controlled multistep biocatalysis.,['dimethylbenzaldehyde']
12534808,UDP-galactose 4-epimerase: a key enzyme in exopolysaccharide formation by Lactobacillus casei CRL 87 in controlled pH batch cultures.,['exopolysaccharide']
12538911,Modification of biologically active peptides: production of a novel lipohexapeptide after engineering of Bacillus subtilis surfactin synthetase.,['lipohexapeptide']
12545384,"The effect of carbon sources and lactate dehydrogenase deletion on 1,2-propanediol production in Escherichia coli.",['propanediol']
12548887,[The selection of fluoroacetate-resistant mutant from E. coli MMR204 and its influence on the expression of heterologous GL-7ACA acylase].,['protein']
12556564,Engineering the metabolism of Escherichia coli W3110 for the conversion of sugar to redox-neutral and oxidized products: homoacetate production.,['homoacetate']
12557308,Combined transcriptome and proteome analysis of Escherichia coli during high cell density culture.,['amino acid']
12570999,Integrative transformation system for the metabolic engineering of the sphingoid base-producing yeast Pichia ciferrii.,['sphingolipid']
12571039,Engineering of carbon distribution between glycolysis and sugar nucleotide biosynthesis in Lactococcus lactis.,['glycolysisnucleotide']
12573011,Improving glucose and glutamine metabolism of human HEK 293 and Trichoplusia ni insect cells engineered to express a cytosolic pyruvate carboxylase enzyme.,['lactate']
12598647,Type I polyketide synthase requiring a discrete acyltransferase for polyketide biosynthesis.,['polyketide']
12616691,Metabolic engineering of Escherichia coli: increase of NADH availability by overexpressing an NAD(+)-dependent formate dehydrogenase.,['enzyme']
12616693,"The effect of NAPRTase overexpression on the total levels of NAD, the NADH/NAD+ ratio, and the distribution of metabolites in Escherichia coli.",['nadh/nad']
12619688,"Selective accumulation of delphinidin derivatives in tobacco using a putative flavonoid 3',5'-hydroxylase cDNA from Campanula medium.",['anthocyanincation']
12620118,"A search for doxycycline-dependent mutations that increase Drosophila melanogaster life span identifies the VhaSFD, Sugar baby, filamin, fwd and Cctl genes.",['phosphatidylcholine']
12626399,A transgenic insect cell line engineered to produce CMP-sialic acid and sialylated glycoproteins.,"['cmpsialate', 'glycoprotein']"
12640465,Semisynthetic production of unnatural L-alpha-amino acids by metabolic engineering of the cysteine-biosynthetic pathway.,['amino acid']
12642677,Cloning and engineering of the cinnamycin biosynthetic gene cluster from Streptomyces cinnamoneus cinnamoneus DSM 40005.,['antibiotic']
12646321,Genetic engineering of a zeaxanthin-rich potato by antisense inactivation and co-suppression of carotenoid epoxidation.,['carotenoid']
12646322,Mathematical modeling of in vitro enzymatic production of 2-Keto-L-gulonic acid using NAD(H) or NADP(H) as cofactors.,['gulonate']
12664151,Surrogate biochemistry: use of Escherichia coli to identify plant cDNAs that impact metabolic engineering of carotenoid accumulation.,['enzyme']
12673764,Metabolic engineering of Lactobacillus fermentum for production of mannitol and pure L-lactic acid or pyruvate.,"['mannitollactate', 'pyruvate']"
12676674,Evolutionary engineering of Saccharomyces cerevisiae for anaerobic growth on xylose.,['ethanol']
12676690,"P1 Trisaccharide (Galalpha1,4Galbeta1,4GlcNAc) synthesis by enzyme glycosylation reactions using recombinant Escherichia coli.",['p1trisaccharide']
12689639,Generation of the improved recombinant xylose-utilizing Saccharomyces cerevisiae TMB 3400 by random mutagenesis and physiological comparison with Pichia stipitis CBS 6054.,['ethanol']
12698320,Rapid engineering of polyketide overproduction by gene transfer to industrially optimized strains.,['polyketide']
12699695,Heterologous expression of Rhodococcus opacus L-amino acid oxidase in Streptomyces lividans.,['aao']
12701147,Novel escherichia coli strain allows efficient recombinant protein production using lactose as inducer.,['protein']
12701148,Control of xylose consumption by xylose transport in recombinant Saccharomyces cerevisiae.,['ethanol']
12702242,Engineering of the metabolism of Saccharomyces cerevisiae for anaerobic production of mannitol.,['mannitol']
12702276,The non-oxidative pentose phosphate pathway controls the fermentation rate of xylulose but not of xylose in Saccharomyces cerevisiae TMB3001.,['pppenzyme']
12702280,Metabolically engineered methylotrophic yeast cells and enzymes as sensor biorecognition elements.,['glycerol']
12702310,Genetic engineering of brewing yeast to reduce the content of ethanol in beer.,['glycerol']
12702754,Use of combinatorial genetic libraries to humanize N-linked glycosylation in the yeast Pichia pastoris.,['polysaccharide']
12721468,Cellulosic fuel ethanol: alternative fermentation process designs with wild-type and recombinant Zymomonas mobilis.,['enzyme']
12732539,Production of plant-specific flavanones by Escherichia coli containing an artificial gene cluster.,['flavanone']
12735738,Metabolic engineering to produce sesquiterpenes in yeast.,['sesquiterpene']
12749842,Engineering metabolism and product formation in Corynebacterium glutamicum by coordinated gene overexpression.,['amino acid']
12749844,Reducing maintenance metabolism by metabolic engineering of respiration improves riboflavin production by Bacillus subtilis.,['riboflavin']
12750944,Engineering lactic acid bacteria with pyruvate decarboxylase and alcohol dehydrogenase genes for ethanol production from Zymomonas mobilis.,['ethanol']
12778056,Engineering a mevalonate pathway in Escherichia coli for production of terpenoids.,['lipid']
12788700,Increased production of folate by metabolic engineering of Lactococcus lactis.,['folate']
12788745,Metabolic engineering of Escherichia coli for production of enantiomerically pure (R)-(--)-hydroxycarboxylic acids.,['hydroxycarboxylicacid']
12814622,Thermostable continuous coupled assay for measuring glucose using glucokinase and glucose-6-phosphate dehydrogenase from the marine hyperthermophile Thermotoga maritima.,['glucopyranose']
12819191,"Enhancement and selective production of phoslactomycin B, a protein phosphatase IIa inhibitor, through identification and engineering of the corresponding biosynthetic gene cluster.",['antibiotic']
12827516,Enhanced heterologous polyketide production in Streptomyces by exploiting plasmid co-integration.,['polyketide']
12828646,An effective sporulation of Myxococcus xanthus requires glycogen consumption via Pkn4-activated 6-phosphofructokinase.,['glycogen']
